A0.	Creator.
A195.1.	God dealing with his angels.
A195.2.	Wisdom as God's companion.
A195.3.	Bird as the shadow of a god.
A196.	Deity's limitations.
A196.1.	Fate controls gods.
A196.2.	Decree of gods irrevocable.
A196.2.1.	Deity changes decision.
A197.	Deity controls elements.
A199.	Gods--additional motifs.
A199.1.	Spirit of deity animates earthen jar when it is placed beneath banyan tree.
A199.2.	God has magic vision only from his throne.
A199.3.	Deity's child becomes fire as soon as he is born.
A199.4.	Wind drives buffaloes for god.
A199.5.	God's day is one thousand years.
A199.6.	Deity authenticates sacred writings in heaven.
A199.7.	Drums and flutes off-shore announce approach of gods.
A200.	God of the upper world.
A205.	Witch-woman of upper world.
A210.	Sky-god
A210.1.	Sky-goddess.
A211.	God of heaven.
A216.	God of the air.
A220.	Sun-god
A220.0.1.	Sun-god commits adultery.
A220.0.2.	Sun-god couples with the moon.
A220.1.	Sun-goddess.
A220.2.	The sun-god and his family.
A221.	Sun-father.
A222.	Sun-god bitten by snake, leaves earth for heaven.
A225.	Son of the sun.
A226.	Sun father-in-law.
A227.	Two sun-gods.
A227.1.	Male sun-god while ascending; female while setting.
A227.2.	One sun-god for night; another for day (Osiris, Horus).
A240.	Moon-god
A240.1.	Moon-goddess.
A250.	Star-god
A251.	God of morning star.
A252.	God of evening star.
A253.	God of north star.
A253.1.	Goddess of north star.
A255.	Star-deity and drought-demon fight.
A260.	God of light
A162.2.	Combat between god of light and dragon of ocean.
A260.1.	Goddess of light.
A270.	God of dawn
A270.1.	Goddess of dawn.
A280.	Weather-god
A281.	Storm-god.
A281.1.	Storm-goddess.
A282.	Wind-god.
A282.0.1.	Wind-goddess.
A282.0.1.1.	Facial features of wind-goddess reversed.
A282.0.2.	Wind-angel.
A282.1.	God of whirlwind.
A283.	Cloud-god.
A283.1.	Cloud-angel.
A284.	God of thunder.
A284.0.1.	Angel of thunder.
A284.1.	Goddess of thunder.
A284.2.	Thunderbird.
A284.3.	Appearance of thunder-spirit.
A284.3.1.	Thunder god or spirit has very long mouth.
A284.3.2.	Thunder spirit lives in world below earth.
A285.	God of lightning.
A285.0.1.	Angel of lightning.
A285.1.	Lightning weapon of the gods.
A287.	Rain-god.
A287.0.1.	Rain-god and wind-god brought back in order to make liveable weather.
A287.1.	Rain-goddess.
A287.2.	St. Peter as ruler for the air and rain.
A288.	Rainbow-goddess.
A289.	Other weather-gods.
A289.1.	Frost-god.
A300.	God of the underworld
A300.1.	Goddess of underworld.
A302.	Angel of hell.
A305.	Demigod of underworld.
A307.	Deity ruler of lowest heaven.
A308.	Warrior chieftain of underworld.
A310.	God of the world of the dead
A310.1.	Goddess of world of the dead.
A310.2.	God of the slain.
A310.3.	God of the hanged.
A310.4.	God of suicide.
A311.	Conductor of the dead.
A316.	Goddess divides time between upper and lower worlds.
A317.	Demon god lies in wait for spirits descending to underworld.
A318.	Rank of the gods in Hades.
A400.	God of earth
A400.0.1.	Gods of earth.
A400.1.	Goddess of earth.
A400.2.	Angel of earth.
A401.	Mother Earth.
A401.1.	Mother Earth pregnant with Adam.
A405.	Nature gods.
A410.	Local gods
A411.	Household gods.
A411.1.	Door-gods.
A411.2.	Kitchen-gods.
A411.3.	Dairy-god.
A411.4.	Hearth-god.
A412.	City-gods.
A413.	God of roads (streets).
A413.1.	God of cross-roads.
A414.	God of boundaries.
A415.	God of clans or nations.
A417.	Gods of the Quarters.
A417.1.	Beast guardians of the four quarters.
A418.	Deity of particular mountain.
A418.1.	Angel of mountains.
A419.	Local gods--miscellaneous.
A419.1.	Deity of particular forest.
A419.1.1.	Angel of the bush.
A419.2.	Deity of the deserts.
A419.2.1.	Angel of the deserts.
A419.3.	Gods of seat-braces on canoe.
A420.	God of water
A420.1.	Water-goddess.
A421.	Sea-god.
A421.0.1.	Angel of the deep.
A421.1.	Sea-goddess.
A421.1.1.	Sea-queen and hand maidens entice lovers.
A423.	Waves as girls, daughters or widows of the sea-god.
A425.	River-god.
A425.0.1.	Angel of rivers.
A425.1.	River goddess.
A425.1.1.	Stream is wife of deity.
A427.	God of springs.
A427.1.	Goddess of springs and wells.
A430.	God of vegetation
A430.0.1.	Angel in charge of vegetation.
A430.1.	Goddess of vegetation.
A430.1.1.	Goddess of splendor of spring.
A430.1.2.	Goddess of autumn leaves.
A431.	God of fertility.
A431.1.	Goddess of fertility.
A431.1.1.	In absence of goddess of fertility, no reproduction of life.
A431.1.2.	Goddess of fertility of wild forest plants.
A431.1.3.	Goddess causes famine.
A431.1.4.	Goddess of dryness and sterility.
A432.	God of agriculture.
A432.0.1.	God plants fields.
A432.0.2.	Plowman god.
A432.1.	Goddess of agriculture.
A433.	Gods or goddesses of special crops.
A433.1.	Corn-god (goddess).
A433.1.1.	God of rice-fields.
A433.2.	The seven grain sisters.
A433.3.	God of the vine.
A433.4.	God (goddess) of fruit.
A433.5.	God (angel) of grass.
A434.	Goddess (god) of flowers.
A435.	God of trees and forests.
A435.1.	Bamboo goddess.
A435.2.	Fig tree as god.
A440.	God of animals
A440.1.	Goddess of animals.
A441.	God (goddess) of domestic animals.
A441.1.	God of domestic beasts.
A441.1.1.	Goddess of buffaloes.
A441.1.2.	God of flocks.
A441.2.	God of domestic fowls.
A443.	God (goddess) of wild animals.
A443.1.	God of wild beasts.
A443.2.	God of wild fowls.
A443.2.1.	God of owls.
A445.	God of fish.
A445.0.1.	Angel of fishes.
A445.1.	God of the squid.
A445.2.	God of eels.
A446.	God of reptiles.
A446.1.	God of lizards.
A446.1.1.	God whose shadow on earth is a lizard.
A446.2.	God of the cutworm.
A450.	God of trades and professions.
A450.1.	God "of many arts".
A451.	Artisan-god.
A451.1.	God of smith-work.
A451.1.1.	Goddess of smith-work.
A451.2.	God of carpenters.
A451.2.1.	God as canoe builder.
A451.3.	God of handicrafts.
A451.3.1.	Goddess of weaving and spinning.
A451.4.	Goddess of pottery.
A452.	God of hunting.
A452.1.	Goddess of hunting.
A453.	Shepherd-god.
A454.	God of healing.
A454.0.1.	Angel of healing (Raphael).
A454.1.	Goddess of healing.
A455.	God of fishing.
A456.	God of sailors.
A456.1.	Goddess of sailors.
A457.	God of thieves.
A459.	God of trades and professions--miscellaneous.
A459.1.	God or goddess of skiing (or snow-shoes).
A460.	Gods of abstractions
A461.	God of wisdom.
A461.1.	Goddess of wisdom.
A462.	God of beauty.
A462.1.	Goddess of beauty.
A463.	God of fate.
A463.0.1.	God of fate in shape of golden frog.
A463.1.	The Fates.
A463.1.1.	The Fates weave.
A463.1.2.	Three fates in house in woods allot destiny to people.
A464.	God of justice.
A464.1.	Goddess of justice.
A465.	God of the arts.
A465.0.1.	The Nine Muses, patronesses of the arts.
A465.1.	God of poetry.
A465.1.1.	Goddess of poetry.
A465.2.	God of music.
A465.2.0.1.	God as harper.
A465.2.1.	Goddess of music.
A465.3.	God of eloquence and learning.
A465.3.0.1.	God of eloquence and learning as inventor of ogam alphabet.
A465.3.1.	Goddess of eloquence and learning.
A465.4.	God of the dance.
A465.4.1.	Goddess of the dance.
A465.5.	God of pictorial art.
A465.5.1.	God of tattooing.
A466.	Goddess of fame.
A467.	God of happiness.
A467.1.	Angel of peace.
A468.	The three Graces.
A471.	God of prophecy.
A471.1.	Goddess of prophecy.
A472.	God of sleep.
A472.0.1.	Angel of insomnia.
A472.1.	Goddess of sleep.
A473.	God of wealth.
A473.0.1.	Angel of poverty.
A473.1.	Goddess of wealth.
A473.1.1.	Goddess of prosperity.
A474.	Gods of youth and age.
A474.1.	God of youth.
A474.1.1.	Goddess of youth.
A474.2.	God (goddess) of longevity.
A475.	God of love.
A475.0.1.	Cupid with arrows of lead and gold.
A475.0.2.	Marriage-god.
A475.1.	Goddess of love.
A475.1.1.	Goddess of love with thousand faces.
A475.1.1.1.	Goddess of thousand eyes discovered by lousing.
A476.	Goddess of chastity.
A477.	Goddess of childbirth.
A477.1.	Goddess of cradle.
A478.	God of disease.
A478.1.	Goddess of pestilence.
A478.2.	God (goddess) of smallpox.
A478.3.	God (goddess) of cholera.
A478.4.	God of fevers.
A478.5.	Devil of leprosy.
A478.6.	Angel (demon) of blindness.
A481.	God of intoxication (or of wine).
A482.	God of gambling (luck).
A482.1.	Goddess of ill-luck.
A482.1.1.	Spirit of ill-luck a son of a god.
A482.2.	Goddess of good luck (Lakshmi).
A483.	God of mercy.
A483.0.1.	Angel of mercy.
A483.1.	Goddess of mercy.
A484.	God of oaths.
A484.1.	Goddess of oaths.
A485.	God of war.
A485.1.	Goddess of war.
A485.2.	Valkyries (shield-maidens).
A485.3.	God of single-combats.
A486.	The Furies.
A487.	God of death.
A487.0.1.	Death kills only those whose time it is to die.
A487.1.	Goddess of death.
A488.	God of destruction.
A489.	Gods of abstractions--miscellaneous.
A489.1.	Goddess of protection.
A489.2.	God of strength.
A489.3.	God of fear.
A489.3.1.	Angel of fear.
A489.4.	God of laughter.
A490.	Miscellaneous gods of the earth
A491.	God of travelers.
A492.	God of metals.
A493.	God of fire.
A493.0.1.	Angel of fire.
A493.1.	Goddess of fire.
A493.2.	God of the furnace.
A494.	Food-goddess.
A495.	Mountain-god.
A496.	God of the seasons.
A496.1.	God of spring.
A497.	Echo.
A497.1.	Echo invisible.
A498.	Deity of stone.
A499.	Other deities.
A499.1.	Python-goddess.
A499.2.	Goddess of the hair.
A499.3.	God of stones.
A499.4.	God of sorcery.
A499.4.1.	Goddess of sorcery.
A499.5.	God of dreams.
A499.6.	God of poison.
A499.7.	Goddess of the parasol.
A500.	Demigods and culture heroes
A501.	Groups of demigods.
A501.1.	Seven demigods.
A502.	Heroes or demigods as fourth race of men.
A504.	Male virgin demigod.
A506.	Half-spirit, half-man.
A510.	Origin of the culture hero (demigod).
A510.1.	Culture hero as god.
A510.2.	Culture hero reborn.
A511.	Birth and rearing of culture hero (demigod).
A511.1.	Birth of culture hero.
A511.1.1.	Culture hero snatched from mother's side.
A511.1.1.1.	River flows from corpse of mythical mother of culture hero.
A511.1.2.	Culture hero speaks before birth.
A511.1.2.1.	Twin culture heroes quarrel before birth.
A511.1.2.2.	Culture hero in mother's womb indicates direction to be taken by her.
A511.1.3.	Culture hero incarnated through birth from virgin.
A511.1.3.1.	Demigod son of king's unmarried sister (daughter) by god.
A511.1.3.2.	Demigod son of king's unmarried sister by her brother.
A511.1.3.3.	Immaculate conception of culture hero.
A511.1.4.	Magic origin of culture hero.
A511.1.4.1.	Origin of culture hero from bursting stone.
A511.1.4.2.	Hero formed by god out of mother's apron.
A511.1.4.3.	Birth of culture heroes from human bones swallowed by jaguar's human wife.
A511.1.4.4.	Culture hero creates a companion from a toenail.
A511.1.5.	Culture hero son of mortal (half-mortal) father.
A511.1.6.	Culture hero posthumous child.
A511.1.7.	Culture hero born three times.
A511.1.8.	Culture hero son of animal.
A511.1.8.1.	Culture hero son of deer mother.
A511.1.8.2.	Culture hero offspring of woman and jaguar.
A511.1.8.3.	Mythical lizards parents of culture hero.
A511.1.9.	Culture hero born from egg.
A511.2.	Care of culture hero.
A511.2.1.	Abandonment of culture hero at birth.
A511.2.1.1.	Abandoned culture hero captured by use of net.
A511.2.2.	Nursing of culture hero.
A511.2.2.1.	Culture hero suckled by wolf.
A511.2.2.2.	Culture hero cared for by tiger.
A511.2.3.	Culture hero is hidden in order to escape enemies.
A511.3.	Education of culture hero.
A511.3.1.	Culture hero reared in seclusion.
A511.3.2.	Culture hero reared (educated) by extraordinary (supernatural) personages.
A511.4.	Growth of culture hero.
A511.4.1.	Miraculous growth of culture hero.
A512.	Parentage of culture hero.
A512.1.	Culture hero's grandmother.
A512.2.	Culture hero creator's son.
A512.3.	Culture hero as son of god.
A512.4.	Sun as father of culture hero.
A513.	Coming of culture hero (demigod).
A513.1.	Demigods descend from heaven.
A513.2.	Culture hero arrives (and departs) in boat.
A515.	Pair of culture heroes.
A515.1.	Culture heroes brothers.
A515.1.1.	Twin culture heroes.
A515.1.1.1.	Twin culture heroes sired by two fathers.
A515.1.1.2.	Twin culture heroes--one foolish, one clever.
A515.1.1.3.	Twin culture heroes conceived of as sun and moon.
A515.1.2.	Sworn brothers as culture heroes.
A515.2.	Father and son as culture heroes.
A515.3.	Culture hero has blood brother.
A515.4.	Culture hero has faithful attendant.
A515.5.	Culture hero fights with (encounters) son without recognizing him.
A516.	Expulsion and return of culture hero.
A520.	Nature of the culture hero (demigod).
A520.1.	Gods as culture heroes.
A521.	Culture hero as dupe or trickster.
A522.	Animal as culture hero.
A522.1.	Beast as culture hero.
A522.1.1.	Dog as culture hero.
A522.1.1.1.	Culture hero acts as watch-dog; named "Hound".
A522.1.2.	Rabbit as culture hero.
A522.1.3.	Coyote as culture hero.
A522.1.4.	Fox as culture hero.
A522.1.5.	Mink as culture hero.
A522.2.	Bird as culture hero.
A522.2.1.	Blue Jay as culture hero.
A522.2.2.	Raven as culture hero.
A522.2.3.	Hawk as culture hero.
A522.2.4.	Aquatic bird as culture hero.
A522.3.	Other animals as culture hero.
A522.3.1.	Spider as culture hero.
A523.	Giant as culture hero.
A523.1.	Giant sword of culture hero.
A524.	Extraordinary possessions of culture hero.
A524.1.	Culture hero's extraordinary animals.
A524.1.1.	Culture hero has marvelous dogs.
A524.1.2.	Culture hero has marvelous horses.
A524.2.	Extraordinary weapons of culture hero.
A525.	Good and bad culture heroes.
A525.1.	Culture hero fights with his elder brother.
A525.2.	Culture hero (god) slays his grandfather.
A526.	Physical characteristics of culture hero (demigod).
A526.1.	Culture hero can be wounded.
A526.2.	Culture hero as mighty hunter.
A526.3.	Culture hero has irresistible beauty spot (ball seirc).
A526.4.	Culture hero has three heads of hair of different colors.
A526.5.	Culture hero has seven pupils in each eye, seven toes on each foot, seven fingers on each hand.
A526.5.1.	Culture hero with different colored eyes, one brown, one green.
A526.6.	Culture hero, when angry, subject to contortions.
A526.7.	Culture hero performs remarkable feats of strength and skill.
A526.8.	Culture hero can turn feet and knees backwards.
A526.9.	Lightning flashes from armpits of hero.
A527.	Special powers of culture hero.
A527.1.	Culture hero precocious.
A527.1.1.	Divine twins make selves a bow and arrow.
A527.2.	Culture hero has knowledge-giving member (thumb, tooth).
A527.3.	Culture hero as magician (drai).
A527.3.1.	Culture hero can transform self.
A527.3.1.1.	Culture hero assumes ugly and deformed guise.
A527.4.	Culture hero as poet (musician).
A528.	Culture hero has supernatural helpers.
A530.	Culture hero establishes law and order
A530.1.	Culture hero completes work of creator.
A531.	Culture hero (demigod) overcomes monsters.
A531.1.	Culture hero spares certain evil spirits.
A531.1.1.	Culture hero banishes demons.
A531.2.	Culture hero banishes snakes.
A531.3.	Culture hero exterminates race of tigers.
A531.4.	Culture hero conquers sea monster.
A531.4.1.	Demigod conquers great octopus.
A532.	Culture hero tames winds in caves.
A533.	Culture hero regulates rivers.
A533.1.	Culture hero stays current of river.
A535.	Culture hero swallowed and recovered from animal.
A536.	Demigods fight as allies of mortals.
A536.1.	Culture hero (saint) defends Ireland against foreign invasions.
A537.	Culture heroes clear plains.
A538.	Culture hero builds raths.
A541.	Culture hero teaches arts and crafts.
A541.1.	Culture hero invents and teaches the Irish language.
A541.2.	Culture hero as god of agriculture.
A545.	Culture hero establishes customs.
A546.	Culture hero establishes social system.
A547.	Culture hero dispenses food and hospitality.
A560.	Culture hero's (demigod's) departure
A561.	Divinity's departure for west.
A562.	Divinity's departure for east.
A564.	Remarkable longevity of culture heroes.
